level1	level2	level3	pathway_id	KO	gene	KO_name	EC
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K13979	yahK	alcohol dehydrogenase (NADP+)	1.1.1.2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K14028	mdh1, mxaF	methanol dehydrogenase (cytochrome c) subunit 1	1.1.2.7
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K14029	mdh2, mxaI	methanol dehydrogenase (cytochrome c) subunit 2	1.1.2.7
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00114	exaA	alcohol dehydrogenase (cytochrome c)	1.1.2.8
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K04022	eutG	alcohol dehydrogenase	NA
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K22473	adhA	alcohol dehydrogenase (quinone), dehydrogenase subunit	1.1.5.5
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K22474	adhB	alcohol dehydrogenase (quinone), cytochrome c subunit	1.1.5.5
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00128	ALDH	aldehyde dehydrogenase (NAD+)	1.2.1.3
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K14085	ALDH7A1	aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00149	ALDH9A1	aldehyde dehydrogenase family 9 member A1	1.2.1.47 1.2.1.3
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00129	ALDH3	aldehyde dehydrogenase (NAD(P)+)	1.2.1.5
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00138	aldB	aldehyde dehydrogenase	1.2.1.-
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01895	ACSS1_2, acs	acetyl-CoA synthetase	6.2.1.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01913	AAE7, ACN1	acetate/butyrate---CoA ligase	6.2.1.1 6.2.1.2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01905	acdA	acetate---CoA ligase (ADP-forming) subunit alpha	6.2.1.13
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K22224	acdB	acetate---CoA ligase (ADP-forming) subunit beta	6.2.1.13
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K24012	acdAB	acetate---CoA ligase (ADP-forming)	6.2.1.13
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01785	galM, GALM	aldose 1-epimerase	5.1.3.3
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01085	agp	glucose-1-phosphatase	3.1.3.10
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K20866	yihX	glucose-1-phosphatase	3.1.3.10
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01835	pgm	phosphoglucomutase	5.4.2.2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K15778	pmm-pgm	phosphomannomutase / phosphoglucomutase	5.4.2.8 5.4.2.2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K15779	PGM2	phosphoglucomutase / phosphopentomutase	5.4.2.2 5.4.2.7
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01084	G6PC	glucose-6-phosphatase	3.1.3.9
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00886	ppgK	polyphosphate glucokinase	2.7.1.63
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K08074	ADPGK	ADP-dependent glucokinase	2.7.1.147
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01792	E5.1.3.15	glucose-6-phosphate 1-epimerase	5.1.3.15
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01837	BPGM	bisphosphoglycerate/phosphoglycerate mutase	5.4.2.4 5.4.2.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K03103	MINPP1	multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase	3.1.3.62 3.1.3.80
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K11389	gapor	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)	1.2.7.6
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)	1.2.1.9
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K18978	gapN	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+]	1.2.1.90
